,gene_Her2_x,score_Her2_x,gene_Her2_y,score_Her2_y
13735,ZKSCAN7,0.5261801525971521,ZKSCAN7,0.5261801525971521
13736,CFAP52,0.5261764490682826,CFAP52,0.5261764490682826
13737,LOC100129233,0.5261495088152297,LOC100129233,0.5261495088152297
13738,LOC440292,0.5261383217792814,LOC440292,0.5261383217792814
13739,PEMT,0.5261301452156262,PEMT,0.5261301452156262
13740,FAT4,0.5261245506831013,FAT4,0.5261245506831013
13741,FOSB,0.5261116660142141,FOSB,0.5261116660142141
13742,CCDC70,0.5261023668779089,CCDC70,0.5261023668779089
13743,PTPN18,0.526087998961424,PTPN18,0.526087998961424
13744,DPYS,0.5260658410055786,DPYS,0.5260658410055786
13745,RHOBTB3,0.5260469061770123,RHOBTB3,0.5260469061770123
13746,OR4N5,0.5260424634463317,OR4N5,0.5260424634463317
13747,BC046381,0.5260333056970401,BC046381,0.5260333056970401
13748,TDRD3,0.5259958975730256,TDRD3,0.5259958975730256
13749,ITIH6,0.5259519193030745,ITIH6,0.5259519193030745
13750,OR2AG2,0.525939388398632,OR2AG2,0.525939388398632
13751,CYP1A2,0.5259390029324641,CYP1A2,0.5259390029324641
13752,TFDP2,0.5259346252308231,TFDP2,0.5259346252308231
13753,FLNC,0.5259267705045091,FLNC,0.5259267705045091
13754,PRORP,0.5259028255015405,PRORP,0.5259028255015405
13755,SRRD,0.5259024234590884,SRRD,0.5259024234590884
13756,WARS1,0.5258589621824346,WARS1,0.5258589621824346
13757,CCDC91,0.5258394048761007,CCDC91,0.5258394048761007
13758,GMNC,0.5258132276487177,GMNC,0.5258132276487177
13759,SHC2,0.5258063791130453,SHC2,0.5258063791130453
13760,CDKN2A-DT,0.525795210209292,CDKN2A-DT,0.525795210209292
